Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024
Belk Inc. , Retail,709437,"Customer analytics, demand forecasting",,,
Bell Microproducts Inc. , Technology,409901,"Supply chain optimization, IT process automation",,,
BellSouth Corporation , Telecommunications,538658,Network optimization and diagnostics ,,,
Belo Corp. , Media,133347,"Content recommendation, ad targeting",,,
Bemis Company Inc. , Manufacturing,320677,"Quality control automation, predictive maintenance",,,
Benchmark Electronics Inc. , Technology,289276,"Supply chain optimization, automation of testing",,,
Berkshire Hathaway Inc. , Conglomerate,688709,Wide range of AI applications depending on subsidiaries ,,,
Best Buy Co. Inc. , Retail,663680,"Recommendation engine, inventory optimization",,,
Bethlehem Steel Corporation , Metals,163127,"Predictive maintenance, process optimization",,,
Beverly Enterprises Inc. , Healthcare,941125,"Patient care optimization, administration process automation",,,
Big Lots Inc. , Retail,160200,"Demand forecasting, inventory optimization",,,
BJ Services Company , Oil and Gas,943745,"Predictive maintenance, job planning optimization",,,
BJ's Wholesale Club Inc. , Retail,876752,"Inventory optimization, customer analytics",,,
The Black & Decker Corporation , Manufacturing,312026,"Predictive maintenance, product design optimization",,,
Black Hills Corporation , Utilities,807546,"Infrastructure monitoring, demand forecasting ",,,
BMC Software Inc. , Technology,619814,"IT process automation, cybersecurity enhancement",,,
The Boeing Company , Aerospace,432616,"Supply chain optimization, manufacturing automation",,,
Boise Cascade Corporation , Manufacturing,493225,"Predictive maintenance, process optimization",,,
Borders Group Inc. , Retail,746850,"Recommendation engine, inventory optimization",,,
BorgWarner Inc. , Manufacturing,586226,"Predictive maintenance, design optimization",,,
Boston Scientific Corporation , Healthcare,462944,"Drug discovery acceleration, precision medicine",,,
Bowater Incorporated , Manufacturing,849951,"Predictive maintenance, supply chain optimization",,,
Briggs & Stratton Corporation , Manufacturing,156980,"Predictive maintenance, production scheduling optimization",,,
Brightpoint Inc. , Wholesale,301495,"Demand forecasting, inventory optimization ",,,
Brinker International Inc. , Restaurants,361765,"Menu optimization, food demand forecasting ",,,
Bristol-Myers Squibb Company, Healthcare,145991,"Drug discovery, diagnostics optimization",BMY,6327000000.0,8025000000.0
Broadwing Inc. , Telecommunications,594877,Network optimization and monitoring,,,
Brown Shoe Company Inc. , Retail,325693,"Demand forecasting, inventory optimization",,,
Brown-Forman Corporation , Consumer Goods,557935,"Marketing optimization, product development",,,
Brunswick Corporation , Manufacturing,439213,"Predictive maintenance, quality control automation",,,
Budget Group Inc. , Retail,184737,"Pricing optimization, customer analytics",,,
Burlington Coat Factory Warehouse Corporation , Retail,328003,"Inventory optimization, demand forecasting",,,
Burlington Industries Inc. , Manufacturing,519018,"Predictive maintenance, process optimization",,,
Burlington Northern Santa Fe Corporation , Transportation,603029,"Fleet optimization, demand forecasting",,,
Burlington Resources Inc. , Oil and Gas,287768,"Reservoir modeling, equipment monitoring",,,
C. H. Robinson Worldwide Inc. , Transportation,545211,"Fleet optimization, demand forecasting",,,
Cablevision Systems Corp , Telecommunications,836291,"Customer analytics, content recommendation  ",,,
Cabot Corp , Manufacturing,911442,"Predictive maintenance, process optimization",,,
Cadence Design Systems Inc. , Technology,538926,"Design automation, verification acceleration ",,,
Calpine Corp. , Energy,635272,"Predictive maintenance, demand forecasting",,,
Campbell Soup Co. , Food Processing,137669,"Demand forecasting, supply chain optimization ",,,
Capital One Financial Corp. , Banking,173112,"Credit scoring, fraud detection",,,
Cardinal Health Inc. , Healthcare,503697,"Supply chain optimization, fraud detection",,,
Caremark Rx Inc. , Healthcare,784360,"Drug utilization analysis, fraud detection",,,
Carlisle Cos. Inc. , Manufacturing,412274,"Predictive maintenance, quality control automation",,,
Carpenter Technology Corp. , Manufacturing,452030,"Predictive maintenance, process optimization ",,,
Casey's General Stores Inc. , Retail,703841,"Inventory optimization, demand forecasting  ",,,
Caterpillar Inc. , Manufacturing,480601,"Predictive maintenance, supply chain optimization",,,
CBRL Group Inc. , Restaurants,650258,"Menu optimization, customer analytics  ",,,
CDI Corp. , Staffing,704907,Resume screening and matching,,,
CDW Computer Centers Inc. , Retail,176384,"Inventory optimization, customer analytics",,,
CellStar Corp. , Telecommunications,123584,"Network optimization, customer churn prediction",,,
Cendant Corp , Conglomerate,496555,Wide range of AI applications depending on subsidiaries,,,
Cenex Harvest States Cooperatives , Retail,874655,"Demand forecasting, supply chain optimization",,,
Centex Corp. , Homebuilding,499366,"Demand forecasting, process optimization",,,
CenturyTel Inc. , Telecommunications,254471,"Network optimization, customer service chatbots  ",,,
Ceridian Corp. , Business Services,429413,"Process automation, predictive analytics",,,
CH2M Hill Cos. Ltd. , Engineering,680158,"Design optimization, project scheduling",,,
Champion Enterprises Inc. , Manufacturing,730443,"Predictive maintenance, production optimization",,,
Charles Schwab Corp. , Financial Services,341072,"Investment recommendations, fraud detection",,,
Charming Shoppes Inc. , Retail,831283,"Recommendation engine, demand forecasting ",,,
Charter Communications Inc. , Telecommunications,819499,"Network optimization, customer analytics",,,
Charter One Financial Inc. , Banking,991864,"Fraud detection, credit risk modeling",,,
ChevronTexaco Corp. , Oil and Gas,945641,"Exploration optimization, predictive maintenance",,,
Chiquita Brands International Inc. , Food Processing,309416,"Demand forecasting, supply chain optimization  ",,,
Chubb Corp , Insurance,385406,"Claims automation, underwriting analytics",,,
Ciena Corp. , Telecommunications,785017,Network optimization and diagnostics,,,
Cigna Corp , Insurance,153291,"Claims automation, personalized policy recommendations",,,
Cincinnati Financial Corp. , Insurance,879220,"Claims automation, risk modeling",,,
Cinergy Corp. , Energy,449172,"Predictive grid maintenance, demand forecasting",,,
Cintas Corp. , Business Services,235138,"Inventory optimization, predictive demand forecasting ",,,
Circuit City Stores Inc. , Retail,895865,"Recommendation engine, inventory optimization",,,
Cisco Systems Inc. , Technology,768982,"Network optimization, cybersecurity enhancement",,,
Citigroup Inc , Banking,369141,"Fraud detection, investment analytics",,,
Citizens Communications Co. , Telecommunications,527120,"Network optimization, customer churn prediction",,,
CKE Restaurants Inc. , Restaurants,284372,"Demand forecasting, customer analytics",,,
Clear Channel Communications Inc. , Media,718756,"Ad targeting, content recommendation",,,
The Clorox Co. , Consumer Goods,664315,"Demand forecasting, marketing optimization",,,
CMGI Inc. , Technology,702490,Automation and optimization of technology processes,,,
CMS Energy Corp.,Energy ,668181,Predictive grid maintenance and optimization,AAMC,,
CNF Inc.,Transportation,404826,Fleet routing and demand forecasting optimization,A,1254000000.0,1240000000.0
Coca-Cola Co.,Food and Beverage,668971,Demand forecasting and marketing optimization,COKE,430158000.0,408375000.0
Coca-Cola Enterprises Inc.,Food and Beverage,380403,Supply chain optimization and demand forecasting,AABA,,
Colgate-Palmolive Co.,Consumer Goods,693824,Marketing optimization and product development,CL,1785000000.0,2300000000.0
Collins & Aikman Corp.,Manufacturing,825412,Predictive maintenance and quality control automation ,AAMC,,
Comcast Corp.,Telecommunications,303173,Customer analytics and network optimization,CMCSA,5370000000.0,15388000000.0
Comdisco Inc.,Technology,4877771,IT process automation and predictive analytics,A,1254000000.0,1240000000.0
Comerica Inc.,Banking,305649,Fraud detection and investment analytics,CMA,1151000000.0,881000000.0
Comfort Systems USA Inc.,Construction,206018,Project planning and scheduling optimization,FIX,245947000.0,323398000.0
Commercial Metals Co.,Metals,657316,Predictive maintenance and demand forecasting,CMC,1217262000.0,859760000.0
Community Health Systems Inc.,Healthcare,920445,Patient flow optimization and diagnostics assistance,CYH,46000000.0,-133000000.0
Compass Bancshares Inc,Banking,610849,Fraud detection and credit risk analysis  ,AABA,,
Computer Associates International Inc.,Technology,3740787,Process automation and AI security,A,1254000000.0,1240000000.0
Computer Sciences Corp.,Technology,7797432,Process automation and predictive analytics,AAMC,,
Compuware Corp.,Technology,4033703,Software quality optimization and IT process automation,AAMC,,
Comverse Technology Inc.,Technology,8742071,Product optimization with AI and predictive analytics,AABA,,
ConAgra Foods Inc.,Food Processing,615077,Demand forecasting and supply chain optimization,AABA,,
Concord EFS Inc.,Financial Services,906548,Fraud detection and transaction analytics,A,1254000000.0,1240000000.0
Conectiv Inc,Energy,201229,Grid diagnostics and predictive maintenance,A,1254000000.0,1240000000.0
Conoco Inc,Oil and Gas,585522,Exploration optimization and predictive equipment maintenance,A,1254000000.0,1240000000.0
Conseco Inc.,Insurance,322017,Claims automation and actuarial analytics,A,1254000000.0,1240000000.0
Consolidated Freightways Corp.,Transportation,955007,Fleet routing optimization and demand forecasting,ACY,,
Consolidated Edison Inc.,Energy,803343,Infrastructure monitoring and demand forecasting,ED,1660000000.0,2519000000.0
Constellation Brands Inc.,Consumer Goods  ,138494,Marketing optimization and demand forecasting,STZ,-40400000.0,-71000000.0
Constellation Emergy Group Inc.,Energy,125860,Grid optimization and predictive maintenance,AABA,,
Continental Airlines Inc.,Transportation,156155,Pricing optimization and demand forecasting,AABA,,
Convergys Corp.,Business Services,821565,Process automation and predictive analytics,AAMC,,
Cooper Cameron Corp.,Manufacturing,832181,Predictive maintenance and process optimization,AAMC,,
Cooper Industries Ltd.,Manufacturing,622639,Predictive maintenance and quality control automation,ABB,,
Cooper Tire & Rubber Co.,Manufacturing,950755,Predictive maintenance and design optimization,CTB,,
Corn Products International Inc.,Food Processing,588424,Supply chain optimization and demand forecasting,AABA,,
Corning Inc.,Manufacturing,219682,Predictive maintenance and process optimization,GLW,1316000000.0,581000000.0
Costco Wholesale Corp.,Retail,981618,Inventory optimization and demand forecasting,AAMC,,
Countrywide Credit Industries Inc.,Financial Services,512636,Credit risk analysis and fraud detection ,AABA,,
Coventry Health Care Inc.,Healthcare,966789,Claims processing automation and utilization analysis,AABA,,
Cox Communications Inc.,Telecommunications,978706,Network optimization and customer analytics,LKSD,,
Crane Co.,Manufacturing,940194,Predictive maintenance and quality control automation,CR,401100000.0,255900000.0
Crompton Corp.,Chemicals,262649,R&D acceleration and predictive maintenance,AAMC,,
Crown Cork & Seal Co. Inc.,Manufacturing,755555,Predictive maintenance and process optimization,AABA,,
CSK Auto Corp.,Retail,582590,Inventory optimization and demand forecasting,AAMC,,
CSX Corp.,Transportation  ,734734,Fleet optimization and demand forecasting,CSX,4114000000.0,3668000000.0
Cummins Inc.,Manufacturing,185827,Predictive maintenance and design optimization,CMI,2151000000.0,735000000.0
CVS Corp.,Retail,310047,Inventory optimization and demand forecasting  ,AAMC,,
Cytec Industries Inc.,Chemicals,714505,Process optimization and predictive maintenance,ASTE,-100000.0,33500000.0
D&K Healthcare Resources Inc.,Healthcare,943687,Claims processing automation and fraud detection,AABA,,
D.R. Horton Inc.,Homebuilding,156232,Demand forecasting and process optimization,DHI,5857500000.0,4745700000.0
Dana Corporation,Manufacturing,636706,Predictive maintenance and quality control automation,DAC,559210000.0,576299000.0
Danaher Corporation,Manufacturing,341669,Predictive maintenance and process optimization  ,DHR,7209000000.0,4764000000.0
Darden Restaurants Inc.,Restaurants,300424,Menu optimization and demand forecasting,DRI,952800000.0,981900000.0
DaVita Inc.,Healthcare,733475,Patient care optimization and administration automation,DVA,560400000.0,691535000.0
Dean Foods Company,Food and Beverage,609836,Demand forecasting and supply chain optimization,DF,,
Deere & Company,Manufacturing,865542,Predictive maintenance and production optimization,DE,7131000000.0,10166000000.0
Del Monte Foods Co,Food Processing,702936,Demand forecasting and supply chain optimization,ARTW,97797.0,266969.0
Dell Computer Corporation,Technology,4009913,Supply chain optimization and predictive analytics,ACH,,
Delphi Corp.,Manufacturing,528605,Predictive maintenance and production optimization,AAMC,,
Delta Air Lines Inc.,Transportation,495125,Pricing optimization and demand forecasting,DAL,1318000000.0,4609000000.0
Deluxe Corporation,Business Services,529941,Process automation and predictive analytics,DLX,65395000.0,26120000.0
Devon Energy Corporation,Oil and Gas,281984,Exploration optimization and predictive maintenance,DVN,6015000000.0,3747000000.0
Di Giorgio Corporation,Food Processing,379021,Supply chain optimization and demand forecasting ,ACH,,
Dial Corporation,Consumer Goods,680376,Marketing optimization and product development,BLL,,
Diebold Incorporated,Manufacturing,890886,Predictive maintenance and process optimization,DBD,-581400000.0,
Dillard's Inc.,Retail,657323,Inventory optimization and demand forecasting,DDS,862473000.0,891637000.0
DIMON Incorporated,Tobacco,574554,Demand forecasting and supply chain optimization,ABM,230400000.0,251300000.0
Dole Food Company Inc.,Food Processing  ,163233,Demand forecasting and supply chain optimization,AABA,,
Dollar General Corporation,Retail,545654,Inventory optimization and demand forecasting,DG,2399232000.0,2415989000.0
Dollar Tree Stores Inc.,Retail,220659,Inventory optimization and personalized promotions,DLTR,1327900000.0,1615400000.0
Dominion Resources Inc.,Energy,975848,Grid optimization and predictive maintenance  ,AABA,,
Domino's Pizza LLC,Restaurants,251643,Demand forecasting and supply chain optimization,DPZ,452263000.0,519118000.0
Dover Corporation Inc.,Manufacturing,325217,Predictive maintenance and process optimization,DOV,1065376000.0,1056828000.0
Dow Chemical Company,Chemicals,265475,R&D acceleration and predictive maintenance ,ADM,4340000000.0,3483000000.0
Dow Jones & Company Inc.,Media,311903,Content recommendation and ad targeting,AABA,,
DPL Inc.,Energy,649349,Grid optimization and predictive maintenance,A,1254000000.0,1240000000.0
DQE Inc.,Energy,376523,Infrastructure monitoring and demand forecasting,A,1254000000.0,1240000000.0
Dreyer's Grand Ice Cream Inc.,Food and Beverage,127324,Demand forecasting and supply chain optimization,AABA,,
DST Systems Inc.,Technology,3781904,Process automation and predictive analytics,GVP,,
DTE Energy Co.,Energy,654298,Infrastructure monitoring and predictive maintenance,AE,3487000.0,212000.0
E.I. Du Pont de Nemours and Company,Chemicals,862416,R&D acceleration and predictive maintenance,ALTM,273500000.0,330100000.0
Duke Energy Corp,Energy,983236,Grid optimization and predictive maintenance ,DUK,2550000000.0,2841000000.0
Dun & Bradstreet Inc.,Business Services ,604115,Data analytics and process automation,AABA,,
DURA Automotive Systems Inc.,Manufacturing,705323,Predictive maintenance and design optimization,CAAS,21181000.0,37658000.0
DynCorp,Business Services,232303,Process automation and predictive analytics ,NOT FOUND,,
Dynegy Inc.,Energy,236418,Predictive maintenance and demand forecasting,A,1254000000.0,1240000000.0
E*Trade Group Inc.,Financial Services,801597,Investment recommendation and fraud detection,ERA,,
E.W. Scripps Company,Media,782174,Content recommendation and ad targeting,SSP,195902000.0,-947784000.0
Earthlink Inc.,Telecommunications  ,380126,Network optimization and customer analytics,A,1254000000.0,1240000000.0
Eastman Chemical Company,Chemicals,284455,R&D acceleration and predictive maintenance,EMN,793000000.0,894000000.0
Eastman Kodak Company,Manufacturing,716652,Predictive maintenance and process optimization,KODK,26000000.0,75000000.0
Eaton Corporation,Manufacturing,271049,Predictive maintenance and production optimization,ETN,2462000000.0,3218000000.0
Echostar Communications Corporation,Telecommunications,862827,Customer analytics and network optimization,SBAC,461429000.0,501812000.0
Ecolab Inc.,Manufacturing,216635,Predictive maintenance and quality control automation,ECL,1091700000.0,1372300000.0
Edison International,Energy,160748,Infrastructure monitoring and predictive maintenance ,EIX,824000000.0,1407000000.0
EGL Inc.,Transportation,240075,Fleet routing optimization and demand forecasting,A,1254000000.0,1240000000.0
El Paso Corporation,Oil and Gas,101643,Exploration optimization and predictive maintenance,AAME,1525000.0,
Electronic Arts Inc.,Technology,1573080,Product recommendation and demand forecasting,EA,789000000.0,802000000.0
Electronic Data Systems Corp.,Technology  ,252231,Process automation and predictive analytics,ACY,,
Eli Lilly and Company,Healthcare,506801,Drug discovery and precision medicine,LLY,6244800000.0,5240400000.0
EMC Corporation,Technology,6717903,Data analytics and IT process automation  ,FMC,736500000.0,1321500000.0
Emcor Group Inc.,Construction,371232,Project planning and optimization,EME,406122000.0,632994000.0
Emerson Electric Co.,Manufacturing,330536,Predictive maintenance and process optimization,EMR,3231000000.0,13219000000.0
Encompass Services Corporation,Business Services,408628,Process automation and predictive analytics,AA,-123000000.0,-651000000.0
Energizer Holdings Inc.,Consumer Goods,972051,Demand forecasting and marketing optimization,ENR,-231500000.0,140500000.0
Energy East Corporation,Energy,352643,Infrastructure monitoring and predictive maintenance,ACH,,
Engelhard Corporation,Manufacturing,793970,Predictive maintenance and process optimization,ACH,,
Enron Corp.,Energy,855248,Trading analytics and demand forecasting,AAMC,,
Entergy Corporation,Energy,737582,Grid optimization and predictive maintenance,ETR,1097138000.0,2362310000.0
Enterprise Products Partners L.P.,Oil and Gas,950092,Pipeline monitoring and maintenance optimization,EPD,5490000000.0,5532000000.0
EOG Resources Inc.,Oil and Gas,147147,Exploration optimization and predictive maintenance,EOG,7759000000.0,7594000000.0
Equifax Inc.,Business Services,910841,Data analytics and process automation ,EFX,696200000.0,545300000.0
Equitable Resources Inc.,Energy,991434,Infrastructure monitoring and demand forecasting,AABA,,
Equity Office Properties Trust,Real Estate,395055,Property valuation and investment analytics,ABR,325783000.0,371434000.0
Equity Residential Properties Trust,Real Estate,219926,Property valuation and investment analytics,ABR,325783000.0,371434000.0
Estee Lauder Companies Inc.,Consumer Goods,496812,Demand forecasting and marketing optimization,EL,2390000000.0,1006000000.0
Exelon Corporation,Energy,218966,Infrastructure monitoring and predictive maintenance,EXC,2170000000.0,2328000000.0
Exide Technologies,Manufacturing,446022,Predictive maintenance and process optimization,AETI,,
Expeditors International of Washington Inc.,Transportation,728796,Fleet optimization and demand forecasting,EXPD,1357399000.0,752883000.0
Express Scripts Inc.,Healthcare,532909,Drug utilization analysis and fraud detection,AABA,,
ExxonMobil Corporation,Oil and Gas ,527225,Exploration optimization and predictive maintenance,XOM,55740000000.0,36010000000.0
Fairchild Semiconductor International Inc.,Technology,2891599,Design automation and predictive maintenance,A,1254000000.0,1240000000.0
Family Dollar Stores Inc.,Retail,663981,Inventory optimization and demand forecasting  ,AABA,,
Farmland Industries Inc.,Agriculture,758609,Demand forecasting and supply chain optimization,FRD,14066000.0,21344000.0
Federal Mogul Corp.,Manufacturing,552889,Predictive maintenance and process optimization,AAMC,,
Federated Department Stores Inc.,Retail  ,685705,Inventory optimization and demand forecasting,AABA,,
Federal Express Corp.,Transportation,386872,Fleet routing optimization and demand forecasting,AAMC,,
Felcor Lodging Trust Inc.,Real Estate,843072,Property valuation and investment optimization,AABA,,
Ferro Corp.,Manufacturing,881219,Predictive maintenance and process optimization,FOE,,
Fidelity National Financial Inc.,Financial Services,520072,Risk analytics and fraud detection,FNF,1294000000.0,517000000.0
Fifth Third Bancorp,Banking,677868,Fraud detection and credit risk analysis  ,FITB,2446000000.0,2349000000.0
First American Financial Corp.,Financial Services  ,422731,Risk modeling and fraud detection,ABEV,14457900000.0,14501900000.0
