Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024,Profit Change
D.R. Horton Inc.,Homebuilding,156232,Demand forecasting and process optimization,DHI,5857500000.0,4745700000.0,-1111800000.0
Dana Corporation,Manufacturing,636706,Predictive maintenance and quality control automation,DAC,559210000.0,576299000.0,17089000.0
Danaher Corporation,Manufacturing,341669,Predictive maintenance and process optimization  ,DHR,7209000000.0,4764000000.0,-2445000000.0
Darden Restaurants Inc.,Restaurants,300424,Menu optimization and demand forecasting,DRI,952800000.0,981900000.0,29100000.0
DaVita Inc.,Healthcare,733475,Patient care optimization and administration automation,DVA,560400000.0,691535000.0,131135000.0
Deere & Company,Manufacturing,865542,Predictive maintenance and production optimization,DE,7131000000.0,10166000000.0,3035000000.0
Del Monte Foods Co,Food Processing,702936,Demand forecasting and supply chain optimization,ARTW,97797.0,266969.0,169172.0
Delta Air Lines Inc.,Transportation,495125,Pricing optimization and demand forecasting,DAL,1318000000.0,4609000000.0,3291000000.0
Deluxe Corporation,Business Services,529941,Process automation and predictive analytics,DLX,65395000.0,26120000.0,-39275000.0
Devon Energy Corporation,Oil and Gas,281984,Exploration optimization and predictive maintenance,DVN,6015000000.0,3747000000.0,-2268000000.0
Diebold Incorporated,Manufacturing,890886,Predictive maintenance and process optimization,DBD,-581400000.0,,
Dillard's Inc.,Retail,657323,Inventory optimization and demand forecasting,DDS,862473000.0,891637000.0,29164000.0
DIMON Incorporated,Tobacco,574554,Demand forecasting and supply chain optimization,ABM,230400000.0,251300000.0,20900000.0
Dollar General Corporation,Retail,545654,Inventory optimization and demand forecasting,DG,2399232000.0,2415989000.0,16757000.0
Dollar Tree Stores Inc.,Retail,220659,Inventory optimization and personalized promotions,DLTR,1327900000.0,1615400000.0,287500000.0
Domino's Pizza LLC,Restaurants,251643,Demand forecasting and supply chain optimization,DPZ,452263000.0,519118000.0,66855000.0
Dover Corporation Inc.,Manufacturing,325217,Predictive maintenance and process optimization,DOV,1065376000.0,1056828000.0,-8548000.0
Dow Chemical Company,Chemicals,265475,R&D acceleration and predictive maintenance ,ADM,4340000000.0,3483000000.0,-857000000.0
DPL Inc.,Energy,649349,Grid optimization and predictive maintenance,A,1254000000.0,1240000000.0,-14000000.0
DQE Inc.,Energy,376523,Infrastructure monitoring and demand forecasting,A,1254000000.0,1240000000.0,-14000000.0
DTE Energy Co.,Energy,654298,Infrastructure monitoring and predictive maintenance,AE,3487000.0,212000.0,-3275000.0
E.I. Du Pont de Nemours and Company,Chemicals,862416,R&D acceleration and predictive maintenance,ALTM,273500000.0,330100000.0,56600000.0
Duke Energy Corp,Energy,983236,Grid optimization and predictive maintenance ,DUK,2550000000.0,2841000000.0,291000000.0
DURA Automotive Systems Inc.,Manufacturing,705323,Predictive maintenance and design optimization,CAAS,21181000.0,37658000.0,16477000.0
Dynegy Inc.,Energy,236418,Predictive maintenance and demand forecasting,A,1254000000.0,1240000000.0,-14000000.0
E.W. Scripps Company,Media,782174,Content recommendation and ad targeting,SSP,195902000.0,-947784000.0,-1143686000.0
Earthlink Inc.,Telecommunications  ,380126,Network optimization and customer analytics,A,1254000000.0,1240000000.0,-14000000.0
Eastman Chemical Company,Chemicals,284455,R&D acceleration and predictive maintenance,EMN,793000000.0,894000000.0,101000000.0
Eastman Kodak Company,Manufacturing,716652,Predictive maintenance and process optimization,KODK,26000000.0,75000000.0,49000000.0
Eaton Corporation,Manufacturing,271049,Predictive maintenance and production optimization,ETN,2462000000.0,3218000000.0,756000000.0
Echostar Communications Corporation,Telecommunications,862827,Customer analytics and network optimization,SBAC,461429000.0,501812000.0,40383000.0
Ecolab Inc.,Manufacturing,216635,Predictive maintenance and quality control automation,ECL,1091700000.0,1372300000.0,280600000.0
Edison International,Energy,160748,Infrastructure monitoring and predictive maintenance ,EIX,824000000.0,1407000000.0,583000000.0
EGL Inc.,Transportation,240075,Fleet routing optimization and demand forecasting,A,1254000000.0,1240000000.0,-14000000.0
El Paso Corporation,Oil and Gas,101643,Exploration optimization and predictive maintenance,AAME,1525000.0,,
Electronic Arts Inc.,Technology,1573080,Product recommendation and demand forecasting,EA,789000000.0,802000000.0,13000000.0
Eli Lilly and Company,Healthcare,506801,Drug discovery and precision medicine,LLY,6244800000.0,5240400000.0,-1004400000.0
EMC Corporation,Technology,6717903,Data analytics and IT process automation  ,FMC,736500000.0,1321500000.0,585000000.0
Emcor Group Inc.,Construction,371232,Project planning and optimization,EME,406122000.0,632994000.0,226872000.0
Emerson Electric Co.,Manufacturing,330536,Predictive maintenance and process optimization,EMR,3231000000.0,13219000000.0,9988000000.0
Encompass Services Corporation,Business Services,408628,Process automation and predictive analytics,AA,-123000000.0,-651000000.0,-528000000.0
Energizer Holdings Inc.,Consumer Goods,972051,Demand forecasting and marketing optimization,ENR,-231500000.0,140500000.0,372000000.0
Entergy Corporation,Energy,737582,Grid optimization and predictive maintenance,ETR,1097138000.0,2362310000.0,1265172000.0
Enterprise Products Partners L.P.,Oil and Gas,950092,Pipeline monitoring and maintenance optimization,EPD,5490000000.0,5532000000.0,42000000.0
EOG Resources Inc.,Oil and Gas,147147,Exploration optimization and predictive maintenance,EOG,7759000000.0,7594000000.0,-165000000.0
Equifax Inc.,Business Services,910841,Data analytics and process automation ,EFX,696200000.0,545300000.0,-150900000.0
Equity Office Properties Trust,Real Estate,395055,Property valuation and investment analytics,ABR,325783000.0,371434000.0,45651000.0
Equity Residential Properties Trust,Real Estate,219926,Property valuation and investment analytics,ABR,325783000.0,371434000.0,45651000.0
Estee Lauder Companies Inc.,Consumer Goods,496812,Demand forecasting and marketing optimization,EL,2390000000.0,1006000000.0,-1384000000.0
Exelon Corporation,Energy,218966,Infrastructure monitoring and predictive maintenance,EXC,2170000000.0,2328000000.0,158000000.0
Expeditors International of Washington Inc.,Transportation,728796,Fleet optimization and demand forecasting,EXPD,1357399000.0,752883000.0,-604516000.0
ExxonMobil Corporation,Oil and Gas ,527225,Exploration optimization and predictive maintenance,XOM,55740000000.0,36010000000.0,-19730000000.0
Fairchild Semiconductor International Inc.,Technology,2891599,Design automation and predictive maintenance,A,1254000000.0,1240000000.0,-14000000.0
Farmland Industries Inc.,Agriculture,758609,Demand forecasting and supply chain optimization,FRD,14066000.0,21344000.0,7278000.0
Fidelity National Financial Inc.,Financial Services,520072,Risk analytics and fraud detection,FNF,1294000000.0,517000000.0,-777000000.0
Fifth Third Bancorp,Banking,677868,Fraud detection and credit risk analysis  ,FITB,2446000000.0,2349000000.0,-97000000.0
First American Financial Corp.,Financial Services  ,422731,Risk modeling and fraud detection,ABEV,14457900000.0,14501900000.0,44000000.0
FirstEnergy Corp.,Energy,892101,Infrastructure monitoring and predictive maintenance,FE,406000000.0,1102000000.0,696000000.0
FleetBoston Financial Co.,Banking,433742,Fraud detection and investment analytics ,ASX,61501545000.0,,
Flowers Foods Inc.,Food Processing,180105,Demand forecasting and supply chain optimization,FLO,228394000.0,123416000.0,-104978000.0
Fluor Corp,Engineering,129074,Project planning and optimization  ,FLR,145000000.0,139000000.0,-6000000.0
FMC Corp,Chemicals,566845,R&D acceleration and predictive maintenance,FMC,736500000.0,1321500000.0,585000000.0
Foamex International Inc,Manufacturing  ,147658,Predictive maintenance and quality control automation,CIX,20871000.0,22593000.0,1722000.0
Foot Locker Inc,Retail,540712,Inventory optimization and demand forecasting ,FL,893000000.0,342000000.0,-551000000.0
Footstar Inc.,Retail,879257,Inventory optimization and personalized promotions,A,1254000000.0,1240000000.0,-14000000.0
Ford Motor Co,Automotive,205584,Predictive maintenance and supply chain optimization,AJG,1114200000.0,969500000.0,-144700000.0
FPL Group Inc.,Energy,468507,Infrastructure monitoring and predictive maintenance,A,1254000000.0,1240000000.0,-14000000.0
Franklin Resources Inc.,Financial Services  ,103093,Investment analytics and fraud detection,BEN,1291900000.0,882800000.0,-409100000.0
Gannett Co. Inc.,Media,765600,Content recommendation and ad targeting,GCI,-78002000.0,-27791000.0,50211000.0
Gateway Inc.,Technology,6590687,Demand forecasting and supply chain optimization,A,1254000000.0,1240000000.0,-14000000.0
GATX Corporation,Transportation  ,549374,Fleet optimization and demand forecasting,GATX,155900000.0,259200000.0,103300000.0
GenCorp Inc.,Manufacturing,248129,Predictive maintenance and process optimization,A,1254000000.0,1240000000.0,-14000000.0
General Dynamics Corporation,Aerospace/Defense,125732,Supply chain optimization and predictive maintenance,GD,3390000000.0,3315000000.0,-75000000.0
General Electric Company,Conglomerate,227241,Wide range of AI applications ,GE,336000000.0,9482000000.0,9146000000.0
General Mills Inc,Food Processing,803459,Demand forecasting and supply chain optimization,GIS,2707300000.0,2593900000.0,-113400000.0
General Motors Corporation,Automotive,883626,Predictive maintenance and supply chain optimization,AA,-123000000.0,-651000000.0,-528000000.0
Gentek Inc.,Manufacturing,958911,Predictive maintenance and process optimization,A,1254000000.0,1240000000.0,-14000000.0
Genuine Parts Company,Wholesale,564313,Inventory optimization and demand forecasting,GPC,1182701000.0,1316524000.0,133823000.0
Genuity Inc.,Telecommunications  ,186766,Network optimization and predictive analytics,A,1254000000.0,1240000000.0,-14000000.0
Genzyme Corporation,Healthcare,158640,Drug discovery and precision medicine  ,AAME,1525000.0,,
Georgia-Pacific Corporation,Manufacturing ,512096,Predictive maintenance and process optimization,AA,-123000000.0,-651000000.0,-528000000.0
Gillette Company,Consumer Goods,551260,Marketing optimization and demand forecasting ,ACHC,273139000.0,-21667000.0,-294806000.0
Gold Kist Inc.,Food Processing,316012,Demand forecasting and supply chain optimization,A,1254000000.0,1240000000.0,-14000000.0
Golden West Financial Corporation,Banking,373087,Fraud detection and investment analytics,FBK,124555000.0,120224000.0,-4331000.0
Goldman Sachs Group Inc.,Financial Services,383143,Investment analytics and fraud detection,GS,11261000000.0,8516000000.0,-2745000000.0
The Goodyear Tire & Rubber Company,Manufacturing,857865,Predictive maintenance and design optimization,GT,202000000.0,-689000000.0,-891000000.0
Granite Construction Incorporated,Construction,256846,Project planning and optimization  ,GVA,83302000.0,43599000.0,-39703000.0
Great Lakes Chemical Corporation,Chemicals,919616,R&D acceleration and predictive maintenance,WLK,2247000000.0,479000000.0,-1768000000.0
Grey Global Group Inc.,Advertising,284277,Ad targeting and marketing analytics,BERY,766000000.0,609000000.0,-157000000.0
Group 1 Automotive Inc.,Retail  ,538686,Customer analytics and inventory optimization,GPI,751500000.0,601600000.0,-149900000.0
Guidant Corporation,Healthcare,648267,Medical device optimization and diagnostics,AAME,1525000.0,,
H&R Block Inc.,Financial Services,721732,Process automation and fraud detection,HRB,553674000.0,553700000.0,26000.0
H.B. Fuller Company,Manufacturing,970722,Predictive maintenance and supply chain optimization ,FUL,180313000.0,144906000.0,-35407000.0
H.J. Heinz Company,Food Processing,433831,Demand forecasting and supply chain optimization,ACHC,273139000.0,-21667000.0,-294806000.0
Halliburton Co.,Oil and Gas,963349,Predictive maintenance and drilling optimization,AJG,1114200000.0,969500000.0,-144700000.0
Harley-Davidson Inc.,Manufacturing,511505,Predictive maintenance and design optimization,HOG,741408000.0,706586000.0,-34822000.0
Hartford Financial Services Group Inc.,Insurance ,417784,Claims automation and fraud detection,HIG,1819000000.0,2504000000.0,685000000.0
Hasbro Inc.,Consumer Goods,109874,"Demand forecasting, marketing optimization",HAS,203500000.0,-1489300000.0,-1692800000.0
Hawaiian Electric Industries Inc.,Utilities,479968,"Infrastructure monitoring, demand forecasting",HE,243028000.0,201128000.0,-41900000.0
HCA Inc.,Healthcare,170990,"Patient flow optimization, administration automation",A,1254000000.0,1240000000.0,-14000000.0
Health Net Inc.,Healthcare,226459,"Claims automation, utilization analysis",A,1254000000.0,1240000000.0,-14000000.0
Henry Schein Inc.,Healthcare,162644,"Supply chain optimization, inventory management",HSIC,538000000.0,416000000.0,-122000000.0
Hercules Inc.,Chemicals,899739,"Predictive maintenance, R&D acceleration",A,1254000000.0,1240000000.0,-14000000.0
Hewlett-Packard Company,Technology,3563191,"Supply chain optimization, product optimization",HPE,868000000.0,2025000000.0,1157000000.0
Home Depot Inc.,Retail,392269,"Inventory optimization, demand forecasting",HD,16433000000.0,17105000000.0,672000000.0
Hon Industries Inc.,Manufacturing,198253,"Predictive maintenance, process optimization",THO,1137804000.0,374271000.0,-763533000.0
Honeywell International Inc.,Manufacturing,292239,"Predictive maintenance, process optimization",HON,4966000000.0,5658000000.0,692000000.0
Hovnanian Enterprises Inc.,Homebuilding,961293,"Demand forecasting, process optimization",HOV,225490000.0,205891000.0,-19599000.0
Hub Group Inc.,Transportation,502353,"Fleet optimization, demand forecasting ",HUBG,356948000.0,167528000.0,-189420000.0
Hubbell Inc.,Manufacturing,807607,"Predictive maintenance, process optimization",HUBB,545900000.0,759800000.0,213900000.0
Humana Inc.,Healthcare,892056,"Claims automation, utilization analysis",HUM,2806000000.0,2489000000.0,-317000000.0
Idacorp Inc.,Utilities,335602,"Infrastructure monitoring, demand forecasting",IDA,258982000.0,261195000.0,2213000.0
IDT Corporation,Telecommunications,671361,"Network optimization, customer analytics",IDT,27028000.0,40492000.0,13464000.0
Illinois Tool Works Inc.,Manufacturing,687830,"Predictive maintenance, process optimization",ITW,3034000000.0,2957000000.0,-77000000.0
IMC Global Inc.,Chemicals,400174,"Predictive maintenance, process optimization",BOOM,14184000.0,21389000.0,7205000.0
IMS Health Inc.,Healthcare,659624,"Data analytics, administration process automation",A,1254000000.0,1240000000.0,-14000000.0
Ingram Micro Inc.,Wholesale,647815,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0,-14000000.0
Insight Enterprises Inc.,Technology,4538376,"Supply chain optimization, predictive analytics",NSIT,280608000.0,281309000.0,701000.0
Intel Corporation,Technology,8149592,"Chip design automation, equipment predictive maintenance",INTC,8014000000.0,1689000000.0,-6325000000.0
International Paper Co.,Manufacturing,918613,"Predictive maintenance, supply chain optimization",IP,1504000000.0,288000000.0,-1216000000.0
Interpublic Group of Companies Inc.,Advertising,795374,"Ad targeting, campaign optimization",IPG,938000000.0,1098400000.0,160400000.0
Interstate Bakeries Corporation,Food Processing,604695,"Demand forecasting, distribution optimization",AA,-123000000.0,-651000000.0,-528000000.0
International Business Machines Corp.,Technology,3049103,"IT process automation, AI capabilities",IBM,1640000000.0,7502000000.0,5862000000.0
International Flavors & Fragrances Inc.,Manufacturing,369941,"Product development acceleration, demand forecasting",IFF,-1868000000.0,-2565000000.0,-697000000.0
International Multifoods Corporation,Food Processing,954975,"Demand forecasting, supply chain optimization",AA,-123000000.0,-651000000.0,-528000000.0
Intuit Inc.,Technology,8655005,"Process automation, security enhancement",INTU,2066000000.0,2384000000.0,318000000.0
ITT Industries Inc.,Manufacturing,840561,"Predictive maintenance, process optimization",SMIT,-3283776.0,,
J.B. Hunt Transport Services Inc.,Transportation,962118,"Fleet routing optimization, demand forecasting",JBHT,969351000.0,728287000.0,-241064000.0
J.C. Penny Co.,Retail,354700,"Customer analytics, inventory optimization",AJG,1114200000.0,969500000.0,-144700000.0
J.P. Morgan Chase & Co.,Banking,607550,"Fraud detection, investment analytics",JPM,37676000000.0,49552000000.0,11876000000.0
Jack In The Box Inc.,Restaurants,586318,"Demand forecasting, customer analytics",JACK,115781000.0,130826000.0,15045000.0
Jefferson-Pilot Co.,Financial Services,919337,"Risk analytics, fraud detection",ARTW,97797.0,266969.0,169172.0
John Hancock Financial Services Inc.,Financial Services,994579,"Risk modeling, fraud detection",CBFV,11247000.0,22550000.0,11303000.0
Johnson & Johnson,Healthcare,926062,"Drug discovery, precision medicine",JNJ,17941000000.0,35153000000.0,17212000000.0
Johnson Controls Inc.,Manufacturing,958504,"Predictive maintenance, building automation",JNJ,17941000000.0,35153000000.0,17212000000.0
KB Home,Homebuilding,355739,"Demand forecasting, process optimization",KBH,816666000.0,590177000.0,-226489000.0
Kellogg Company,Food Processing,320559,"Demand forecasting, supply chain optimization ",K,960000000.0,951000000.0,-9000000.0
Kellwood Company,Manufacturing,461543,"Predictive maintenance, design optimization",ACHC,273139000.0,-21667000.0,-294806000.0
Kelly Services Inc.,Staffing,844875,Candidate matching and ranking,KELYA,-62500000.0,36400000.0,98900000.0
Kennametal Inc.,Manufacturing,498444,"Predictive maintenance, process optimization",KMT,144623000.0,118459000.0,-26164000.0
KeyCorp,Banking,982828,"Fraud detection, investment analytics  ",KEY,1917000000.0,967000000.0,-950000000.0
Kimberly-Clark Corporation,Manufacturing,957337,"Predictive maintenance, supply chain optimization",KMB,1934000000.0,1764000000.0,-170000000.0
KLA-Tencor Corporation,Technology,5068306,"Automated quality control, predictive maintenance",KLAC,3321807000.0,3387277000.0,65470000.0
Kohl's Corp.,Retail,197472,"Inventory optimization, customer analytics",KSS,938000000.0,-19000000.0,-957000000.0
Kroger Co.,Retail,315129,"Inventory optimization, demand forecasting",KR,1655000000.0,2244000000.0,589000000.0
L-3 Communications Holdings Inc.,Aerospace/Defense,644160,"Predictive maintenance, supply chain optimization",CCOI,5146000.0,1273441000.0,1268295000.0
Laboratory Corporation of America Holdings,Healthcare,632370,"Automated diagnostics, fraud detection ",LH,1279100000.0,418000000.0,-861100000.0
Lam Research Corporation,Technology,8562215,"Automated quality control, predictive maintenance ",LRCX,4605286000.0,4510931000.0,-94355000.0
LandAmerica Financial Group Inc.,Financial Services,122828,"Risk analytics, fraud detection",AFG,898000000.0,852000000.0,-46000000.0
Lands' End Inc.,Retail,519809,"Recommendation engine, demand forecasting",LE,33369000.0,-12530000.0,-45899000.0
Landstar System Inc.,Transportation,225851,"Fleet optimization, demand forecasting ",LSTR,430914000.0,264394000.0,-166520000.0
La-Z-Boy Inc.,Manufacturing,874761,"Predictive maintenance, process optimization",LZB,150017000.0,150664000.0,647000.0
Lear Corporation,Manufacturing,340355,"Predictive maintenance, design optimization",LEA,327700000.0,572500000.0,244800000.0
Lennar Corporation,Homebuilding,857619,"Demand forecasting, process optimization",LEN,4614125000.0,3938511000.0,-675614000.0
Lennox International Inc.,Manufacturing,545412,"Predictive maintenance, quality control automation",LII,497100000.0,590100000.0,93000000.0
Levi Strauss & Co.,Retail,970473,"Inventory optimization, demand forecasting",ARTW,97797.0,266969.0,169172.0
Limited Inc.,Retail,292146,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0,-14000000.0
Lincoln National Corporation,Financial Services,842078,"Risk analytics, claims automation",LNC,1358000000.0,-752000000.0,-2110000000.0
Lithia Motors Inc.,Retail,191134,"Customer analytics, inventory optimization",LAD,1251000000.0,1000800000.0,-250200000.0
Lockheed Martin Corporation,Aerospace/Defense,285836,"Predictive maintenance, supply chain optimization",LMT,5732000000.0,6920000000.0,1188000000.0
Loews Corporation,Conglomerate,591860,Wide range of AI applications,L,822000000.0,1434000000.0,612000000.0
Longs Drug Stores Corporation,Retail,321482,"Inventory optimization, demand forecasting",AA,-123000000.0,-651000000.0,-528000000.0
Louisiana-Pacific Corporation,Manufacturing,911782,"Predictive maintenance, process optimization",LPX,1086000000.0,178000000.0,-908000000.0
Lowe's Companies Inc.,Retail,108047,"Inventory optimization, demand forecasting",LOW,8442000000.0,6437000000.0,-2005000000.0
The LTV Corporation,Manufacturing ,312642,"Predictive maintenance, process optimization",AAME,1525000.0,,
Lucent Technologies Inc.,Telecommunications,138255,"Network optimization, predictive analytics",A,1254000000.0,1240000000.0,-14000000.0
M & T Bank Corporation,Banking,578393,"Fraud detection, investment analytics",MTB,1992000000.0,2741000000.0,749000000.0
Mail-Well Inc.,Business Services,456496,"Process automation, data analytics",A,1254000000.0,1240000000.0,-14000000.0
Manor Care Inc.,Healthcare,248343,"Patient care optimization, administration automation",A,1254000000.0,1240000000.0,-14000000.0
Manpower Inc.,Staffing  ,424903,Candidate matching and ranking,A,1254000000.0,1240000000.0,-14000000.0
Markel Corporation,Insurance,464087,"Risk analytics, claims automation",MKL,-216277000.0,1996060000.0,2212337000.0
Marriott International Inc.,Hospitality,446402,"Customer analytics, demand forecasting",MAR,2358000000.0,3083000000.0,725000000.0
Marsh & McLennan Companies Inc.,Insurance,476037,"Risk analytics, claims automation ",MMC,3050000000.0,3756000000.0,706000000.0
Marshall & Ilsley Corporation,Banking,180343,"Fraud detection, investment analytics",AA,-123000000.0,-651000000.0,-528000000.0
Martin Marietta Materials Inc.,Construction Materials,886238,"Demand forecasting, process optimization",MLM,867000000.0,1169000000.0,302000000.0
Masco Corporation,Manufacturing,559532,"Predictive maintenance, supply chain optimization",MAS,846000000.0,908000000.0,62000000.0
MasTec Inc.,Construction,601939,Project scheduling optimization  ,MTZ,33354000.0,-49949000.0,-83303000.0
Mattel Inc.,Consumer Goods,983373,"Demand forecasting, marketing optimization",MAT,393913000.0,214352000.0,-179561000.0
Maxtor Corporation,Technology,3868168,"Automated quality control, predictive maintenance",DXR,5178133.0,280640.0,-4897493.0
Maxxam Inc.,Manufacturing,636701,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0,-14000000.0
The May Department Stores Company,Retail,196549,"Inventory optimization, demand forecasting",AES,-546000000.0,249000000.0,795000000.0
Maytag Corporation,Manufacturing,183651,"Predictive maintenance, quality control automation",AAME,1525000.0,,
McCormick & Company Incorporated,Food Processing,348551,"Demand forecasting, supply chain optimization",MKC,682000000.0,680600000.0,-1400000.0
McDonald's Corporation,Restaurants  ,593415,"Demand forecasting, supply chain optimization",MCD,6177000000.0,8469000000.0,2292000000.0
McKesson Corporation,Healthcare,555601,"Inventory optimization, claims automation",MCK,1114000000.0,3560000000.0,2446000000.0
McLeodUSA Incorporated,Telecommunications,478539,"Network optimization, customer analytics",ATI,323500000.0,410800000.0,87300000.0
MDU Resources Group Inc.,Utilities,265151,"Infrastructure monitoring, demand forecasting ",MDU,367489000.0,414707000.0,47218000.0
Mellon Financial Corporation,Financial Services,678019,"Investment analytics, fraud detection ",FULT,286981000.0,284280000.0,-2701000.0
Merck & Co. Inc.,Healthcare,730040,"Drug discovery, precision medicine",A,1254000000.0,1240000000.0,-14000000.0
Mercury General Corporation,Insurance,381065,"Claims automation, risk modeling",MCY,-512672000.0,96336000.0,609008000.0
Metaldyne Corporation,Manufacturing,524489,"Predictive maintenance, quality control automation",MEOH,353830000.0,174140000.0,-179690000.0
Metals USA Inc.,Metals,324271,"Demand forecasting, predictive maintenance ",A,1254000000.0,1240000000.0,-14000000.0
MetLife Inc.,Insurance,506023,"Claims automation, policy pricing optimization",MET,5284000000.0,1578000000.0,-3706000000.0
MGIC Investment Corporation,Financial Services,280090,"Risk analytics, fraud detection",MTG,865349000.0,712949000.0,-152400000.0
MGM Mirage,Hospitality,601691,"Customer analytics, demand forecasting",MGM,1473093000.0,1142180000.0,-330913000.0
Micron Technology Inc.,Technology,6541530,"Manufacturing process optimization, quality control",MU,8687000000.0,-5833000000.0,-14520000000.0
Microsoft Corporation,Technology,2727566,"Product recommendation, IT process automation  ",MSFT,72738000000.0,72361000000.0,-377000000.0
Milacron Inc.,Manufacturing,608730,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0,-14000000.0
Mirant Corporation,Energy,583456,"Predictive maintenance, demand forecasting",AAME,1525000.0,,
Mohawk Industries Inc.,Manufacturing,525868,"Predictive maintenance, supply chain optimization",MHK,25200000.0,-439500000.0,-464700000.0
Molex Incorporated,Manufacturing,241342,"Predictive maintenance, quality control automation",ABM,230400000.0,251300000.0,20900000.0
Morgan Stanley Dean Witter & Co.,Financial Services,302865,"Investment analytics, fraud detection",MS,11029000000.0,9087000000.0,-1942000000.0
Motorola Inc.,Technology,6090248,"Supply chain optimization, product optimization",A,1254000000.0,1240000000.0,-14000000.0
MPS Group Inc.,Staffing,214111,Candidate matching and ranking ,A,1254000000.0,1240000000.0,-14000000.0
Murphy Oil Corporation,Oil and Gas,407825,"Exploration optimization, equipment monitoring",MUR,965047000.0,661559000.0,-303488000.0
Nabors Industries Inc,Oil and Gas,248264,"Predictive maintenance, drilling optimization",NC,74158000.0,-39587000.0,-113745000.0
Nacco Industries Inc,Manufacturing  ,208609,"Predictive maintenance, process optimization",NC,74158000.0,-39587000.0,-113745000.0
Nash Finch Company,Wholesale,136721,"Inventory optimization, demand forecasting  ",ACHC,273139000.0,-21667000.0,-294806000.0
National Fuel Gas Company,Oil and Gas,671486,"Pipeline monitoring, equipment maintenance optimization",NFG,566021000.0,476866000.0,-89155000.0
National Oilwell Inc,Manufacturing,262213,"Predictive maintenance, process optimization",NOV,155000000.0,993000000.0,838000000.0
National Rural Utilities Cooperative Finance Corporation,Financial Services,563805,"Risk analytics, investment optimization  ",AA,-123000000.0,-651000000.0,-528000000.0
National Semiconductor Corporation,Technology,5825430,"Chip design automation, predictive maintenance",ON,1902200000.0,2183700000.0,281500000.0
New Jersey Resources Corporation,Utilities,549652,"Infrastructure monitoring, demand forecasting",NJR,274922000.0,264724000.0,-10198000.0
New York Times Company,Media,345449,"Content recommendation, ad targeting",NYT,173905000.0,232387000.0,58482000.0
Newmont Mining Corporation,Mining,452258,"Equipment monitoring, predictive maintenance",NEM,-429000000.0,-2494000000.0,-2065000000.0
Nike Inc,Retail,881805,"Demand forecasting, inventory optimization  ",NKE,6046000000.0,5070000000.0,-976000000.0
NiSource Inc,Utilities,628021,"Infrastructure monitoring, demand forecasting",NI,804100000.0,714300000.0,-89800000.0
