Company Name ,Sector,Profits in USD,AI Benefits
Beverly Enterprises Inc. , Healthcare,941125,"Patient care optimization, administration process automation"
Big Lots Inc. , Retail,160200,"Demand forecasting, inventory optimization"
BJ Services Company , Oil and Gas,943745,"Predictive maintenance, job planning optimization"
BJ's Wholesale Club Inc. , Retail,876752,"Inventory optimization, customer analytics"
The Black & Decker Corporation , Manufacturing,312026,"Predictive maintenance, product design optimization"
Black Hills Corporation , Utilities,807546,"Infrastructure monitoring, demand forecasting "
BMC Software Inc. , Technology,619814,"IT process automation, cybersecurity enhancement"
The Boeing Company , Aerospace,432616,"Supply chain optimization, manufacturing automation"
Boise Cascade Corporation , Manufacturing,493225,"Predictive maintenance, process optimization"
Borders Group Inc. , Retail,746850,"Recommendation engine, inventory optimization"
BorgWarner Inc. , Manufacturing,586226,"Predictive maintenance, design optimization"
Boston Scientific Corporation , Healthcare,462944,"Drug discovery acceleration, precision medicine"
Bowater Incorporated , Manufacturing,849951,"Predictive maintenance, supply chain optimization"
Briggs & Stratton Corporation , Manufacturing,156980,"Predictive maintenance, production scheduling optimization"
Brightpoint Inc. , Wholesale,301495,"Demand forecasting, inventory optimization "
Brinker International Inc. , Restaurants,361765,"Menu optimization, food demand forecasting "
Bristol-Myers Squibb Company, Healthcare,145991,"Drug discovery, diagnostics optimization"
Broadwing Inc. , Telecommunications,594877,Network optimization and monitoring
Brown Shoe Company Inc. , Retail,325693,"Demand forecasting, inventory optimization"
Brown-Forman Corporation , Consumer Goods,557935,"Marketing optimization, product development"
Brunswick Corporation , Manufacturing,439213,"Predictive maintenance, quality control automation"
Budget Group Inc. , Retail,184737,"Pricing optimization, customer analytics"
Burlington Coat Factory Warehouse Corporation , Retail,328003,"Inventory optimization, demand forecasting"
Burlington Industries Inc. , Manufacturing,519018,"Predictive maintenance, process optimization"
Burlington Northern Santa Fe Corporation , Transportation,603029,"Fleet optimization, demand forecasting"
Burlington Resources Inc. , Oil and Gas,287768,"Reservoir modeling, equipment monitoring"
C. H. Robinson Worldwide Inc. , Transportation,545211,"Fleet optimization, demand forecasting"
Cablevision Systems Corp , Telecommunications,836291,"Customer analytics, content recommendation  "
Cabot Corp , Manufacturing,911442,"Predictive maintenance, process optimization"
Cadence Design Systems Inc. , Technology,538926,"Design automation, verification acceleration "
Calpine Corp. , Energy,635272,"Predictive maintenance, demand forecasting"
Campbell Soup Co. , Food Processing,137669,"Demand forecasting, supply chain optimization "
Capital One Financial Corp. , Banking,173112,"Credit scoring, fraud detection"
Cardinal Health Inc. , Healthcare,503697,"Supply chain optimization, fraud detection"
Caremark Rx Inc. , Healthcare,784360,"Drug utilization analysis, fraud detection"
Carlisle Cos. Inc. , Manufacturing,412274,"Predictive maintenance, quality control automation"
Carpenter Technology Corp. , Manufacturing,452030,"Predictive maintenance, process optimization "
Casey's General Stores Inc. , Retail,703841,"Inventory optimization, demand forecasting  "
Caterpillar Inc. , Manufacturing,480601,"Predictive maintenance, supply chain optimization"
CBRL Group Inc. , Restaurants,650258,"Menu optimization, customer analytics  "
CDI Corp. , Staffing,704907,Resume screening and matching
CDW Computer Centers Inc. , Retail,176384,"Inventory optimization, customer analytics"
CellStar Corp. , Telecommunications,123584,"Network optimization, customer churn prediction"
Cendant Corp , Conglomerate,496555,Wide range of AI applications depending on subsidiaries
Cenex Harvest States Cooperatives , Retail,874655,"Demand forecasting, supply chain optimization"
Centex Corp. , Homebuilding,499366,"Demand forecasting, process optimization"
CenturyTel Inc. , Telecommunications,254471,"Network optimization, customer service chatbots  "
Ceridian Corp. , Business Services,429413,"Process automation, predictive analytics"
CH2M Hill Cos. Ltd. , Engineering,680158,"Design optimization, project scheduling"
Champion Enterprises Inc. , Manufacturing,730443,"Predictive maintenance, production optimization"
Charles Schwab Corp. , Financial Services,341072,"Investment recommendations, fraud detection"
Charming Shoppes Inc. , Retail,831283,"Recommendation engine, demand forecasting "
Charter Communications Inc. , Telecommunications,819499,"Network optimization, customer analytics"
Charter One Financial Inc. , Banking,991864,"Fraud detection, credit risk modeling"
ChevronTexaco Corp. , Oil and Gas,945641,"Exploration optimization, predictive maintenance"
Chiquita Brands International Inc. , Food Processing,309416,"Demand forecasting, supply chain optimization  "
Chubb Corp , Insurance,385406,"Claims automation, underwriting analytics"
Ciena Corp. , Telecommunications,785017,Network optimization and diagnostics
Cigna Corp , Insurance,153291,"Claims automation, personalized policy recommendations"
Cincinnati Financial Corp. , Insurance,879220,"Claims automation, risk modeling"
Cinergy Corp. , Energy,449172,"Predictive grid maintenance, demand forecasting"
Cintas Corp. , Business Services,235138,"Inventory optimization, predictive demand forecasting "
Circuit City Stores Inc. , Retail,895865,"Recommendation engine, inventory optimization"
Cisco Systems Inc. , Technology,768982,"Network optimization, cybersecurity enhancement"
Citigroup Inc , Banking,369141,"Fraud detection, investment analytics"
Citizens Communications Co. , Telecommunications,527120,"Network optimization, customer churn prediction"
CKE Restaurants Inc. , Restaurants,284372,"Demand forecasting, customer analytics"
Clear Channel Communications Inc. , Media,718756,"Ad targeting, content recommendation"
The Clorox Co. , Consumer Goods,664315,"Demand forecasting, marketing optimization"
CMGI Inc. , Technology,702490,Automation and optimization of technology processes
CMS Energy Corp.,Energy ,668181,Predictive grid maintenance and optimization
CNF Inc.,Transportation,404826,Fleet routing and demand forecasting optimization
Coca-Cola Co.,Food and Beverage,668971,Demand forecasting and marketing optimization
Coca-Cola Enterprises Inc.,Food and Beverage,380403,Supply chain optimization and demand forecasting
Colgate-Palmolive Co.,Consumer Goods,693824,Marketing optimization and product development
Collins & Aikman Corp.,Manufacturing,825412,Predictive maintenance and quality control automation 
Comcast Corp.,Telecommunications,303173,Customer analytics and network optimization
Comdisco Inc.,Technology,4877771,IT process automation and predictive analytics
Comerica Inc.,Banking,305649,Fraud detection and investment analytics
Comfort Systems USA Inc.,Construction,206018,Project planning and scheduling optimization
Commercial Metals Co.,Metals,657316,Predictive maintenance and demand forecasting
Community Health Systems Inc.,Healthcare,920445,Patient flow optimization and diagnostics assistance
Compass Bancshares Inc,Banking,610849,Fraud detection and credit risk analysis  
Computer Associates International Inc.,Technology,3740787,Process automation and AI security
Computer Sciences Corp.,Technology,7797432,Process automation and predictive analytics
Compuware Corp.,Technology,4033703,Software quality optimization and IT process automation
Comverse Technology Inc.,Technology,8742071,Product optimization with AI and predictive analytics
ConAgra Foods Inc.,Food Processing,615077,Demand forecasting and supply chain optimization
Concord EFS Inc.,Financial Services,906548,Fraud detection and transaction analytics
Conectiv Inc,Energy,201229,Grid diagnostics and predictive maintenance
Conoco Inc,Oil and Gas,585522,Exploration optimization and predictive equipment maintenance
Conseco Inc.,Insurance,322017,Claims automation and actuarial analytics
Consolidated Freightways Corp.,Transportation,955007,Fleet routing optimization and demand forecasting
Consolidated Edison Inc.,Energy,803343,Infrastructure monitoring and demand forecasting
Constellation Brands Inc.,Consumer Goods  ,138494,Marketing optimization and demand forecasting
Constellation Emergy Group Inc.,Energy,125860,Grid optimization and predictive maintenance
Continental Airlines Inc.,Transportation,156155,Pricing optimization and demand forecasting
Convergys Corp.,Business Services,821565,Process automation and predictive analytics
Cooper Cameron Corp.,Manufacturing,832181,Predictive maintenance and process optimization
Cooper Industries Ltd.,Manufacturing,622639,Predictive maintenance and quality control automation
Cooper Tire & Rubber Co.,Manufacturing,950755,Predictive maintenance and design optimization
Corn Products International Inc.,Food Processing,588424,Supply chain optimization and demand forecasting
Corning Inc.,Manufacturing,219682,Predictive maintenance and process optimization
Costco Wholesale Corp.,Retail,981618,Inventory optimization and demand forecasting
Countrywide Credit Industries Inc.,Financial Services,512636,Credit risk analysis and fraud detection 
Coventry Health Care Inc.,Healthcare,966789,Claims processing automation and utilization analysis
Cox Communications Inc.,Telecommunications,978706,Network optimization and customer analytics
Crane Co.,Manufacturing,940194,Predictive maintenance and quality control automation
Crompton Corp.,Chemicals,262649,R&D acceleration and predictive maintenance
Crown Cork & Seal Co. Inc.,Manufacturing,755555,Predictive maintenance and process optimization
CSK Auto Corp.,Retail,582590,Inventory optimization and demand forecasting
CSX Corp.,Transportation  ,734734,Fleet optimization and demand forecasting
Cummins Inc.,Manufacturing,185827,Predictive maintenance and design optimization
CVS Corp.,Retail,310047,Inventory optimization and demand forecasting  
Cytec Industries Inc.,Chemicals,714505,Process optimization and predictive maintenance
D&K Healthcare Resources Inc.,Healthcare,943687,Claims processing automation and fraud detection
D.R. Horton Inc.,Homebuilding,156232,Demand forecasting and process optimization
Dana Corporation,Manufacturing,636706,Predictive maintenance and quality control automation
Danaher Corporation,Manufacturing,341669,Predictive maintenance and process optimization  
Darden Restaurants Inc.,Restaurants,300424,Menu optimization and demand forecasting
DaVita Inc.,Healthcare,733475,Patient care optimization and administration automation
Dean Foods Company,Food and Beverage,609836,Demand forecasting and supply chain optimization
Deere & Company,Manufacturing,865542,Predictive maintenance and production optimization
Del Monte Foods Co,Food Processing,702936,Demand forecasting and supply chain optimization
Dell Computer Corporation,Technology,4009913,Supply chain optimization and predictive analytics
Delphi Corp.,Manufacturing,528605,Predictive maintenance and production optimization
Delta Air Lines Inc.,Transportation,495125,Pricing optimization and demand forecasting
Deluxe Corporation,Business Services,529941,Process automation and predictive analytics
Devon Energy Corporation,Oil and Gas,281984,Exploration optimization and predictive maintenance
Di Giorgio Corporation,Food Processing,379021,Supply chain optimization and demand forecasting 
Dial Corporation,Consumer Goods,680376,Marketing optimization and product development
Diebold Incorporated,Manufacturing,890886,Predictive maintenance and process optimization
Dillard's Inc.,Retail,657323,Inventory optimization and demand forecasting
DIMON Incorporated,Tobacco,574554,Demand forecasting and supply chain optimization
Dole Food Company Inc.,Food Processing  ,163233,Demand forecasting and supply chain optimization
Dollar General Corporation,Retail,545654,Inventory optimization and demand forecasting
Dollar Tree Stores Inc.,Retail,220659,Inventory optimization and personalized promotions
Dominion Resources Inc.,Energy,975848,Grid optimization and predictive maintenance  
Domino's Pizza LLC,Restaurants,251643,Demand forecasting and supply chain optimization
Dover Corporation Inc.,Manufacturing,325217,Predictive maintenance and process optimization
Dow Chemical Company,Chemicals,265475,R&D acceleration and predictive maintenance 
Dow Jones & Company Inc.,Media,311903,Content recommendation and ad targeting
DPL Inc.,Energy,649349,Grid optimization and predictive maintenance
DQE Inc.,Energy,376523,Infrastructure monitoring and demand forecasting
Dreyer's Grand Ice Cream Inc.,Food and Beverage,127324,Demand forecasting and supply chain optimization
DST Systems Inc.,Technology,3781904,Process automation and predictive analytics
DTE Energy Co.,Energy,654298,Infrastructure monitoring and predictive maintenance
E.I. Du Pont de Nemours and Company,Chemicals,862416,R&D acceleration and predictive maintenance
Duke Energy Corp,Energy,983236,Grid optimization and predictive maintenance 
Dun & Bradstreet Inc.,Business Services ,604115,Data analytics and process automation
DURA Automotive Systems Inc.,Manufacturing,705323,Predictive maintenance and design optimization
DynCorp,Business Services,232303,Process automation and predictive analytics 
Dynegy Inc.,Energy,236418,Predictive maintenance and demand forecasting
E*Trade Group Inc.,Financial Services,801597,Investment recommendation and fraud detection
E.W. Scripps Company,Media,782174,Content recommendation and ad targeting
Earthlink Inc.,Telecommunications  ,380126,Network optimization and customer analytics
Eastman Chemical Company,Chemicals,284455,R&D acceleration and predictive maintenance
Eastman Kodak Company,Manufacturing,716652,Predictive maintenance and process optimization
Eaton Corporation,Manufacturing,271049,Predictive maintenance and production optimization
Echostar Communications Corporation,Telecommunications,862827,Customer analytics and network optimization
Ecolab Inc.,Manufacturing,216635,Predictive maintenance and quality control automation
Edison International,Energy,160748,Infrastructure monitoring and predictive maintenance 
EGL Inc.,Transportation,240075,Fleet routing optimization and demand forecasting
El Paso Corporation,Oil and Gas,101643,Exploration optimization and predictive maintenance
Electronic Arts Inc.,Technology,1573080,Product recommendation and demand forecasting
Electronic Data Systems Corp.,Technology  ,252231,Process automation and predictive analytics
Eli Lilly and Company,Healthcare,506801,Drug discovery and precision medicine
EMC Corporation,Technology,6717903,Data analytics and IT process automation  
Emcor Group Inc.,Construction,371232,Project planning and optimization
Emerson Electric Co.,Manufacturing,330536,Predictive maintenance and process optimization
Encompass Services Corporation,Business Services,408628,Process automation and predictive analytics
Energizer Holdings Inc.,Consumer Goods,972051,Demand forecasting and marketing optimization
Energy East Corporation,Energy,352643,Infrastructure monitoring and predictive maintenance
Engelhard Corporation,Manufacturing,793970,Predictive maintenance and process optimization
Enron Corp.,Energy,855248,Trading analytics and demand forecasting
Entergy Corporation,Energy,737582,Grid optimization and predictive maintenance
Enterprise Products Partners L.P.,Oil and Gas,950092,Pipeline monitoring and maintenance optimization
EOG Resources Inc.,Oil and Gas,147147,Exploration optimization and predictive maintenance
Equifax Inc.,Business Services,910841,Data analytics and process automation 
Equitable Resources Inc.,Energy,991434,Infrastructure monitoring and demand forecasting
Equity Office Properties Trust,Real Estate,395055,Property valuation and investment analytics
Equity Residential Properties Trust,Real Estate,219926,Property valuation and investment analytics
Estee Lauder Companies Inc.,Consumer Goods,496812,Demand forecasting and marketing optimization
Exelon Corporation,Energy,218966,Infrastructure monitoring and predictive maintenance
Exide Technologies,Manufacturing,446022,Predictive maintenance and process optimization
Expeditors International of Washington Inc.,Transportation,728796,Fleet optimization and demand forecasting
Express Scripts Inc.,Healthcare,532909,Drug utilization analysis and fraud detection
ExxonMobil Corporation,Oil and Gas ,527225,Exploration optimization and predictive maintenance
Fairchild Semiconductor International Inc.,Technology,2891599,Design automation and predictive maintenance
Family Dollar Stores Inc.,Retail,663981,Inventory optimization and demand forecasting  
Farmland Industries Inc.,Agriculture,758609,Demand forecasting and supply chain optimization
Federal Mogul Corp.,Manufacturing,552889,Predictive maintenance and process optimization
Federated Department Stores Inc.,Retail  ,685705,Inventory optimization and demand forecasting
Federal Express Corp.,Transportation,386872,Fleet routing optimization and demand forecasting
Felcor Lodging Trust Inc.,Real Estate,843072,Property valuation and investment optimization
Ferro Corp.,Manufacturing,881219,Predictive maintenance and process optimization
Fidelity National Financial Inc.,Financial Services,520072,Risk analytics and fraud detection
Fifth Third Bancorp,Banking,677868,Fraud detection and credit risk analysis  
First American Financial Corp.,Financial Services  ,422731,Risk modeling and fraud detection
First Data Corp.,Financial Services,282434,Fraud detection and transaction analytics
First National of Nebraska Inc.,Banking ,755539,Fraud detection and credit risk analysis
First Tennessee National Corp.,Banking,169966,Fraud detection and investment analytics
FirstEnergy Corp.,Energy,892101,Infrastructure monitoring and predictive maintenance
Fiserv Inc.,Technology,8270896,Process automation and predictive analytics  
Fisher Scientific International Inc.,Healthcare,793457,Inventory optimization and demand forecasting
FleetBoston Financial Co.,Banking,433742,Fraud detection and investment analytics 
Fleetwood Enterprises Inc.,Manufacturing,843539,Predictive maintenance and process optimization
Fleming Companies Inc.,Retail,579412,Inventory optimization and demand forecasting
Flowers Foods Inc.,Food Processing,180105,Demand forecasting and supply chain optimization
Flowserv Corp,Manufacturing,313926,Predictive maintenance and process optimization
Fluor Corp,Engineering,129074,Project planning and optimization  
FMC Corp,Chemicals,566845,R&D acceleration and predictive maintenance
Foamex International Inc,Manufacturing  ,147658,Predictive maintenance and quality control automation
Foot Locker Inc,Retail,540712,Inventory optimization and demand forecasting 
Footstar Inc.,Retail,879257,Inventory optimization and personalized promotions
Ford Motor Co,Automotive,205584,Predictive maintenance and supply chain optimization
Forest Laboratories Inc.,Healthcare ,293940,Drug discovery and diagnostic assistance
Fortune Brands Inc.,Consumer Goods,565834,Demand forecasting and marketing optimization
Foster Wheeler Ltd.,Engineering ,831148,Project planning and optimization
FPL Group Inc.,Energy,468507,Infrastructure monitoring and predictive maintenance
Franklin Resources Inc.,Financial Services  ,103093,Investment analytics and fraud detection
Freeport McMoran Copper & Gold Inc.,Mining,162986,Equipment monitoring and predictive maintenance
Frontier Oil Corp,Oil and Gas,462674,Predictive maintenance and demand forecasting
Furniture Brands International Inc.,Manufacturing,874220,Predictive maintenance and process optimization  
Gannett Co. Inc.,Media,765600,Content recommendation and ad targeting
Gap Inc.,Retail,965706,Inventory optimization and demand forecasting 
Gateway Inc.,Technology,6590687,Demand forecasting and supply chain optimization
GATX Corporation,Transportation  ,549374,Fleet optimization and demand forecasting
Gemstar-TV Guide International Inc.,Media,343244,Content recommendation and ad targeting
GenCorp Inc.,Manufacturing,248129,Predictive maintenance and process optimization
General Cable Corporation,Manufacturing,343040,Predictive maintenance and quality control automation
General Dynamics Corporation,Aerospace/Defense,125732,Supply chain optimization and predictive maintenance
General Electric Company,Conglomerate,227241,Wide range of AI applications 
General Mills Inc,Food Processing,803459,Demand forecasting and supply chain optimization
General Motors Corporation,Automotive,883626,Predictive maintenance and supply chain optimization
Genesis Health Ventures Inc.,Healthcare,114651,Patient care optimization and administration automation
Gentek Inc.,Manufacturing,958911,Predictive maintenance and process optimization
Gentiva Health Services Inc.,Healthcare,342834,Clinical workflow optimization and fraud detection
Genuine Parts Company,Wholesale,564313,Inventory optimization and demand forecasting
Genuity Inc.,Telecommunications  ,186766,Network optimization and predictive analytics
Genzyme Corporation,Healthcare,158640,Drug discovery and precision medicine  
Georgia Gulf Corporation,Chemicals,719761,R&D acceleration and predictive maintenance
Georgia-Pacific Corporation,Manufacturing ,512096,Predictive maintenance and process optimization
Gillette Company,Consumer Goods,551260,Marketing optimization and demand forecasting 
Gold Kist Inc.,Food Processing,316012,Demand forecasting and supply chain optimization
Golden State Bancorp Inc.,Banking,900901,Fraud detection and credit risk analysis
Golden West Financial Corporation,Banking,373087,Fraud detection and investment analytics
Goldman Sachs Group Inc.,Financial Services,383143,Investment analytics and fraud detection
Goodrich Corporation,Manufacturing,299883,Predictive maintenance and design optimization
The Goodyear Tire & Rubber Company,Manufacturing,857865,Predictive maintenance and design optimization
Granite Construction Incorporated,Construction,256846,Project planning and optimization  
Graybar Electric Company Inc.,Wholesale,816934,Inventory optimization and demand forecasting
Great Lakes Chemical Corporation,Chemicals,919616,R&D acceleration and predictive maintenance
Great Plains Energy Inc.,Energy,440999,Infrastructure monitoring and predictive maintenance
GreenPoint Financial Corp.,Banking,125423,Fraud detection and credit risk analysis
Greif Bros. Corporation,Manufacturing,957344,Predictive maintenance and process optimization
Grey Global Group Inc.,Advertising,284277,Ad targeting and marketing analytics
Group 1 Automotive Inc.,Retail  ,538686,Customer analytics and inventory optimization
Guidant Corporation,Healthcare,648267,Medical device optimization and diagnostics
H&R Block Inc.,Financial Services,721732,Process automation and fraud detection
